Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1354,GOHAR STEEL RE-ROLLING MILLS,SULTAN MAHMOOD ROAD SHALIMAR TOWN,,6854111,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1355,GOLDEN STEEL RE-ROLLING MILLS,(PVT) LTD. NOOR ROAD BADAMI BAGH,,7280892,,IRON & STEEL RE-ROLLING MILLS,GIRDERS
NEW-1356,GOREJA STEEL MILLS,(PVT) LTD. 18-K.M.MULTAN ROAD,,5510700,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1357,GULSHAN STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,6548645,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1358,H.R.INDUSTRIES OPP.PAKISTAN MINT G.T. ROAD SHALIMAR TOWN,,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1359,HABIB STEEL RE-ROLLING MILLS,BUND ROAD MAHMOOD BOOTI,,6820844,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1360,HAFEEZ STEEL MILLS,OPPOSITE PAKISTAN MINT SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1361,HAFEEZ STEEL RE-ROLLING MILLS,SULTAN MEHMOOD ROAD SHALIMAR,,6554967,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1362,HAFIZ & COMPANY STEEL RE-ROLLING MILLS,G.T. ROAD SHAHDARA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1363,HAIDARI STEEL INDUSTRIES,OPP.PAKISTAN MINT SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1364,HAIDER STEEL RE-ROLLING MILS,"SALAMATPURA G.T. ROAD, DAROGHAWALA",,6542507,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1365,HAJI ABDUL LATIF STEEL RE-ROLLING MILLS,", ASHRAF PARK NEAR ASIA FURNACE MILLS RASHEED PURA, BAGHBANPURA",,6557522,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1366,HAJI AND CO.,"SULTAN MAHMOOD ROAD, SHALIMAR TOWN",,6548464,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1367,HAJI ASHRAF STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1368,HAJI MUSHTAQ STEEL MILLS,AKBAR COLONY MOMINPURA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1369,HAJI NOOR STEEL MILLS,MAHMOOD BOOTI BUND ROAD,,6542261,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1370,HAMEED STEEL RE-ROLLING MILLS,BECO ROAD,,7203371,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1371,HAQ BROS STEEL RE-ROLLING MILLS,"LAKHODAIR ROAD, BADAMI BAGH",,7281940,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1372,HUSSAIN INDUSTRIES,"(STEEL RE-ROLLING MILLS) IQBAL NAGAR LAKHODAIR ROAD, SHALIMAR TOWN",,6550788,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1373,I.M. STEEL INDUSTRY HAJI ISHAQ COLD STORAGE MEHMOOD BOOTI BUND ROAD NEAR KAROL GHATTI,,,36828091,,IRON & STEEL RE-ROLLING MILLS,M.S PRODUCTS
NEW-1374,IFTIKHAR AHMAD STEEL INDUSTRIES,GHOUS PARK SINGPURA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1375,IFTIKHAR STEEL RE-ROLLING MILLS,(PVT) LTD. NEAR KAROL GHATTI BUND ROAD,,684260-61,,IRON & STEEL RE-ROLLING MILLS,GIRDERS
NEW-1376,ILYAS STEEL,MUSLIM ABAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1377,IMRAN INDUSTRIES,BAGHBANPURA,,7281283,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1378,IMRAN STEEL RE-ROLLING MILLS,", SULTAN MEHMOOD BUND ROAD",,0300-9488878,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1379,INAM STEEL RE-ROLLING MILLS,SHER SHAH ROAD BADAMI BAGH,,7283940,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1380,IQBAL MAJEED STEEL RE-ROLLING MILLS,SHALIMAR TOWN,,6820054,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1381,IQBAL STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1382,IRFAN BROTHERS,LTD. KHOKHAR ROAD BADAMI BAGH,,7280716,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1383,ISHTIAQ STEE INDUSTRY KAROL GHATTI MEHMOOD BOOTI BUND ROAD,,,36864260-62,,IRON & STEEL RE-ROLLING MILLS,M.S PRODUCTS
NEW-1384,ISHTIAQUE STEEL RE-ROLLING MILLS,(PVT) LTD. NOOR ROAD BADAMI BAGH,,7285302,,IRON & STEEL RE-ROLLING MILLS,GIRDERS
